priority,request,value,latency_ns
1,289,2289,4401013
2,290,2290,5103892
3,291,2291,7697920
0,292,2292,7104702
1,293,2293,7386937
2,294,2294,4602837
3,295,2295,6658101
0,296,2296,5583076
1,297,2297,10475230
2,298,2298,5875143
3,299,2299,6750429
0,300,2300,5667654
1,301,2301,5633947
2,302,2302,5391169
3,303,2303,5228262
0,304,2304,6526400
1,305,2305,4830908
2,306,2306,6036218
3,307,2307,4605753
0,308,2308,6634185
1,309,2309,6141795
2,310,2310,6655893
3,311,2311,5340130
0,312,2312,5007940
1,313,2313,6202084
2,314,2314,7086828
3,315,2315,6937128
0,316,2316,6331160
1,317,2317,6314411
2,318,2318,5706153
3,319,2319,5228720
0,320,2320,6814718
1,321,2321,4963317
2,322,2322,5137724
3,323,2323,7157825
0,324,2324,5816272
1,325,2325,5167473
2,326,2326,5605241
3,327,2327,5438874
0,328,2328,5818438
1,329,2329,9463200
2,330,2330,6791386
3,331,2331,13642060
0,332,2332,5186430
1,333,2333,7909201
2,334,2334,5581617
3,335,2335,5933348
0,336,2336,6210709
1,337,2337,5507246
2,338,2338,5504913
3,339,2339,5898434
0,340,2340,6213625
1,341,2341,7418727
2,342,2342,6092298
3,343,2343,5496455
0,344,2344,6188959
1,345,2345,5730651
2,346,2346,5591033
3,347,2347,5336339
0,348,2348,5770148
1,349,2349,6347701
2,350,2350,6043009
3,351,2351,5338380
0,352,2352,6623603
1,353,2353,5118767
2,354,2354,4701414
3,355,2355,6423905
0,356,2356,6526275
1,357,2357,7505556
2,358,2358,5349754
3,359,2359,5600866
0,360,2360,6434404
1,361,2361,6739347
2,362,2362,5307257
3,363,2363,5751067
0,364,2364,7545720
1,365,2365,4605169
2,366,2366,6380657
3,367,2367,5657571
0,368,2368,5725109
1,369,2369,3340279
2,370,2370,5848478
3,371,2371,4533132
0,372,2372,6154295
1,373,2373,6458320
2,374,2374,7075370
3,375,2375,4601962
0,376,2376,5520371
1,377,2377,5454457
2,378,2378,8420048
3,379,2379,5627698
0,380,2380,5138016
1,381,2381,5603199
2,382,2382,5778982
3,383,2383,5987887
0,384,2384,5215595
1,385,2385,5245177
2,386,2386,4757994
3,387,2387,6309869
0,388,2388,6145962
1,389,2389,6213333
2,390,2390,5346921
3,391,2391,5986303
0,392,2392,6335119
1,393,2393,6013552
2,394,2394,6407865
3,395,2395,6441905
0,396,2396,6356992
1,397,2397,5747483
2,398,2398,6123505
3,399,2399,5442792
0,400,2400,5036521
1,401,2401,6253665
2,402,2402,5317840
3,403,2403,6197001
0,404,2404,5541369
1,405,2405,5057937
2,406,2406,5030397
3,407,2407,5666196
0,408,2408,4832240
1,409,2409,5937139
2,410,2410,5445500
3,411,2411,5057520
0,412,2412,7283401
1,413,2413,5342379
2,414,2414,5988846
3,415,2415,6077840
0,416,2416,4667000
1,417,2417,5313298
2,418,2418,5540495
3,419,2419,5610615
0,420,2420,5979137
1,421,2421,4384014
2,422,2422,7731669
3,423,2423,6129629
0,424,2424,5084060
1,425,2425,5925932
2,426,2426,5376879
3,427,2427,5961430
0,428,2428,6317911
1,429,2429,6288579
2,430,2430,5490330
3,431,2431,3909582
0,432,2432,5842645
1,433,2433,6588980
2,434,2434,5787439
3,435,2435,6919337
0,436,2436,6049217
1,437,2437,5747775
